BuildingSF,SalePrice,YearBuilt,LandAreaSF,AvgUnitSF,Coverage,ImprovementRatio,MarketTime,NetIncome,NumberOf1BedroomsUnits,NumberOf2BedroomsUnits,NumberOf3BedroomsUnits,NumberOfOtherBedroomsUnits,NumberOfParkingSpaces,NumberOfStudiosUnits,ParkingRatio,UnitsPerAcre,LocationType,BuildingCondition,BuildingMaterials,PortfolioCounty,BusinessCenter,CommunityWideWiFi,CorporateSuites,DayCare,DisposalChutes,Elevator,EnergyStarLabeled,OnSiteRetail,PackageService,PetWashingStation,PropertyManageronSite,Sauna,Spa,StorageSpace,WiFi
3750,1250000,1924,9705,812,0.386392074820343,31.03,95,95844,0,6,0,0,4,0,1.25,44,Urban,Adequate,"",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
3216,1157500,1940,4800,804,0.334999511459046,39.29,95,69475,0,4,0,0,8,0,1.25,44,Urban,Good,"",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
1755,950000,1923,4294,600,0.408712587951805,26.19,95,46319,0,1,0,1,5,0,2.85,44,Urban,Good,Wood Frame,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
4578,2905000,1945,7405,812,0.309107113919948,23.44,155,106572,3,2,0,0,5,0,1.09,44,Urban,Adequate,Wood Frame,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
6065,1200000,1929,3049,812,0.822971779723366,63.7,57,106572,0,0,0,0,8,4,1.25,44,Urban,"","",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
4792,835000,1923,6098,812,0.392889938344484,48.18,237,87109,4,0,0,0,8,0,0,44,Urban,Good,"",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
8356,4210500,1926,18901,450,0.22105020114616,34.48,65,106572,18,0,0,0,10,0,1.2,44,Urban,Poor,Masonry,Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
5178,2300000,1924,7074,812,0.365980675541804,47.5,237,106572,2,4,0,0,5,0,0.97,37,Suburban,Good,"",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
3574,1090000,1930,10151,894,0.352083365144634,18.43,107,106572,2,1,1,0,8,0,1.25,44,Urban,Adequate,"",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
3314,1307000,1923,5789,812,0.572452757964763,0,95,106572,0,0,0,0,8,5,1.25,44,Urban,"","",Los Angeles,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
